Poision Type: Label Flip,,,,,,,,,,,,,,
Aggergation Strategies,1 Compromized Client,,,,,,,2 Compromized Clients,,,,,,
,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD
FedAvg,0.7569,0.7921,0.7562,0.7697,0.7658,0.76814,0.015,0.7349,0.7266,0.6861,0.7288,0.6746,0.7102,0.028
FedAvgM,0.8115,0.8153,0.8072,0.8076,0.7947,0.80726,0.008,0.7553,0.7447,0.6962,0.7,0.7217,0.72358,0.026
FedProx,0.7747,0.7924,0.7723,0.7659,0.7669,0.77444,0.011,0.7233,0.7281,0.7034,0.7305,0.6834,0.71374,0.02
FedNova,0.7582,0.7905,0.7568,0.7621,0.7632,0.76616,0.014,0.7265,0.7251,0.7024,0.6568,0.6953,0.70122,0.028
FedCurv,0.67,0.6715,0.6703,0.6361,0.6294,0.65546,0.021,0.6808,0.6419,0.5782,0.6894,0.5668,0.63142,0.057
Federated Clustered,0.7441,0.6732,0.7337,0.7399,0.7217,0.72252,0.029,0.6923,0.5347,0.7161,0.7297,0.4866,0.63188,0.113
Attention Based Aggregation,0.7716,0.8025,0.7714,0.7601,0.7603,0.77318,0.017,0.7216,0.7275,0.6844,0.6936,0.6726,0.69994,0.024
,,,,,,,,,,,,,,
Poision Type: Random Labelling,,,,,,,,,,,,,,
Aggergation Strategies,1 Compromized Client,,,,,,,2 Compromized Clients,,,,,,
,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD
FedAvg,0.7613,0.8015,0.7637,0.7591,0.7645,0.77002,0.018,0.7078,0.7169,0.6563,0.7187,0.6786,0.69566,0.027
FedAvgM,0.8054,0.8137,0.8087,0.8006,0.7814,0.80196,0.012,0.7418,0.7163,0.7077,0.7168,0.6998,0.71648,0.016
FedProx,0.7589,0.7937,0.7616,0.7607,0.7617,0.76732,0.015,0.6898,0.6881,0.6664,0.7423,0.6523,0.68778,0.034
FedNova,0.7615,0.7873,0.7579,0.7629,0.7656,0.76704,0.012,0.7231,0.6914,0.6414,0.6875,0.6588,0.68044,0.032
FedCurv,0.6739,0.7123,0.6782,0.6703,0.6922,0.68538,0.017,0.6834,0.6938,0.6775,0.5785,0.6363,0.6539,0.047
Federated Clustered,0.7356,0.5982,0.726,0.7432,0.7325,0.7071,0.061,0.5561,0.5633,0.6938,0.7181,0.3537,0.577,0.145
Attention Based Aggregation,0.7577,0.789,0.7422,0.7655,0.7714,0.76516,0.017,0.7141,0.675,0.6486,0.7952,0.6232,0.69122,0.067
,,,,,,,,,,,,,,
Poision Type: Feature Vanish,,,,,,,,,,,,,,
Aggergation Strategies,1 Compromized Client,,,,,,,2 Compromized Clients,,,,,,
,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Mean,SD
FedAvg,0.8055,0.8174,0.7942,0.7716,0.8122,0.80018,0.018,0.8215,0.823,0.8018,0.7952,0.8003,0.80836,0.013
FedAvgM,0.8317,0.8368,0.8064,0.7927,0.8303,0.81958,0.019,0.838,0.8429,0.8219,0.8234,0.8294,0.83112,0.009
FedProx,0.8005,0.8228,0.8008,0.7666,0.7998,0.7981,0.02,0.8232,0.8201,0.8037,0.7963,0.8069,0.81004,0.011
FedNova,0.7976,0.8189,0.8095,0.7729,0.8076,0.8013,0.018,0.8237,0.8146,0.805,0.8034,0.8034,0.81002,0.009
FedCurv,0.7102,0.6992,0.7055,0.6712,0.6812,0.69346,0.017,0.722,0.693,0.6968,0.6826,0.6917,0.69722,0.015
Federated Clustered,0.7437,0.8229,0.739,0.7405,0.7452,0.75826,0.036,0.8219,0.8206,0.7419,0.8038,0.7482,0.78728,0.039
Attention Based Aggregation,0.8043,0.8196,0.8051,0.7663,0.8031,0.79968,0.02,0.8182,0.8187,0.8045,0.7929,0.8063,0.80812,0.011
